Record,DateTime,40,Tamb,Rh,Pres,Tir,VRain
   116,07/07/2018 00:05:18,41, 296.7360,  68.5900,1009.4500, 246.4800,   0.1700
   119,07/07/2018 00:05:57,41, 296.8490,  68.3300,1009.4500, 250.4400,   0.1580
   122,07/07/2018 00:06:37,41, 296.9740,  68.8800,1009.4500, 248.5300,   0.1730
   125,07/07/2018 00:07:16,41, 297.0720,  66.9800,1009.4500, 246.1700,   0.1730
   128,07/07/2018 00:07:59,41, 297.0720,  66.9400,1009.4500, 246.5200,   0.1630
   138,07/07/2018 00:10:17,41, 297.6030,  64.4800,1009.4500, 249.3900,   0.1760
   141,07/07/2018 00:11:01,41, 297.7870,  65.2200,1009.4500, 248.5100,   0.1710
   144,07/07/2018 00:11:41,41, 297.7710,  65.7500,1009.4500, 248.5700,   0.1580
   147,07/07/2018 00:12:26,41, 297.4630,  63.4600,1009.4500, 247.2900,   0.1750
   150,07/07/2018 00:13:06,41, 297.2670,  65.4500,1009.4500, 247.4500,   0.1680
   160,07/07/2018 00:15:24,41, 297.3530,  66.1400,1009.4500, 247.4000,   0.1760
   163,07/07/2018 00:16:07,41, 297.3530,  66.1100,1009.4500, 246.1200,   0.1600
   166,07/07/2018 00:16:46,41, 297.2400,  65.8100,1009.4500, 245.3500,   0.1750
   169,07/07/2018 00:17:25,41, 297.3260,  67.5700,1009.3500, 245.7500,   0.1760
   172,07/07/2018 00:18:04,41, 297.2670,  67.7300,1009.3500, 245.5100,   0.1740
   182,07/07/2018 00:20:23,41, 297.5490,  65.2400,1009.3500, 245.8900,   0.1630
   185,07/07/2018 00:21:04,41, 297.7280,  66.5600,1009.3500, 245.8400,   0.1740
   188,07/07/2018 00:21:43,41, 297.8420,  65.5200,1009.3500, 245.7300,   0.1770
   191,07/07/2018 00:22:23,41, 297.8300,  63.5900,1009.3500, 245.3600,   0.1760
   194,07/07/2018 00:23:02,41, 297.8570,  64.0300,1009.2500, 245.3400,   0.1760
   204,07/07/2018 00:25:20,41, 297.9700,  63.3400,1009.2500, 245.4900,   0.1600
   207,07/07/2018 00:25:59,41, 298.0100,  63.7800,1009.2500, 245.1800,   0.1620
   210,07/07/2018 00:26:38,41, 298.0800,  63.3800,1009.2500, 246.1700,   0.1630
   213,07/07/2018 00:27:17,41, 298.2050,  64.6100,1009.2500, 245.6900,   0.1760
   216,07/07/2018 00:27:56,41, 298.0680,  62.6100,1009.3500, 246.2700,   0.1730
   226,07/07/2018 00:30:14,41, 298.3610,  62.9000,1009.3500, 252.1800,   0.1770
   229,07/07/2018 00:30:53,41, 298.3060,  64.5900,1009.3500, 251.4100,   0.1760
   232,07/07/2018 00:31:32,41, 298.5290,  65.6800,1009.3500, 256.7300,   0.1770
   235,07/07/2018 00:32:12,41, 298.5450,  62.2600,1009.3500, 258.4600,   0.1760
   238,07/07/2018 00:32:51,41, 298.5560,  62.2100,1009.3500, 250.5500,   0.1650
   248,07/07/2018 00:35:09,41, 298.1380,  64.4700,1009.3500, 256.6200,   0.1760
   251,07/07/2018 00:35:48,41, 297.9390,  64.4700,1009.3500, 259.5100,   0.1580
   254,07/07/2018 00:36:27,41, 297.9000,  64.9500,1009.4500, 265.2700,   0.1760
   257,07/07/2018 00:37:06,41, 297.9270,  64.8400,1009.3500, 260.9100,   0.1770
   260,07/07/2018 00:37:45,41, 297.9550,  65.7800,1009.4500, 256.3700,   0.1610
   270,07/07/2018 00:40:04,41, 298.1660,  65.9200,1009.5500, 258.4600,   0.1770
   273,07/07/2018 00:40:43,41, 298.3180,  64.8900,1009.4500, 251.9200,   0.1770
   276,07/07/2018 00:41:22,41, 298.3060,  63.2300,1009.4500, 252.9300,   0.1620
   279,07/07/2018 00:42:01,41, 298.4860,  63.2500,1009.5500, 253.1100,   0.1660
   282,07/07/2018 00:42:41,41, 298.5130,  61.7900,1009.4500, 250.3100,   0.1590
   292,07/07/2018 00:44:59,41, 298.3060,  64.3100,1009.4500, 249.6600,   0.1570
   295,07/07/2018 00:45:38,41, 298.2910,  62.4200,1009.3500, 246.8200,   0.1750
   298,07/07/2018 00:46:17,41, 298.3880,  62.8200,1009.4500, 247.7000,   0.1600
   301,07/07/2018 00:46:56,41, 298.5560,  65.4200,1009.4500, 246.5300,   0.1770
   304,07/07/2018 00:47:35,41, 298.4040,  63.2900,1009.3500, 246.1700,   0.1770
   314,07/07/2018 00:49:53,41, 298.6150,  62.0600,1009.4500, 245.7200,   0.1640
   317,07/07/2018 00:50:32,41, 298.6150,  62.2100,1009.4500, 245.8200,   0.1770
   320,07/07/2018 00:51:11,41, 298.7400,  62.9900,1009.4500, 245.4000,   0.1760
   323,07/07/2018 00:51:51,41, 298.7830,  62.5600,1009.4500, 245.9500,   0.1570
   326,07/07/2018 00:52:30,41, 298.8100,  61.6100,1009.4500, 246.2200,   0.1760
   336,07/07/2018 00:54:48,41, 298.8650,  62.1300,1009.4500, 245.3600,   0.1750
   339,07/07/2018 00:55:28,41, 298.7950,  60.9000,1009.4500, 245.5300,   0.1690
   342,07/07/2018 00:56:07,41, 298.8380,  62.3400,1009.3500, 245.0400,   0.1610
   345,07/07/2018 00:56:46,41, 298.9780,  62.9400,1009.3500, 245.3000,   0.1760
   348,07/07/2018 00:57:26,41, 298.7950,  61.4000,1009.3500, 246.0300,   0.1760
   358,07/07/2018 00:59:43,41, 298.9350,  63.5000,1009.4500, 245.9400,   0.1620
   361,07/07/2018 01:00:23,41, 298.9510,  63.4600,1009.4500, 245.6500,   0.1760
   364,07/07/2018 01:01:02,41, 298.9510,  60.7900,1009.4500, 245.7000,   0.1690
   367,07/07/2018 01:01:41,41, 299.0490,  62.9600,1009.4500, 245.7200,   0.1760
   370,07/07/2018 01:02:20,41, 299.0490,  63.5000,1009.4500, 245.3900,   0.1690
   380,07/07/2018 01:04:38,41, 298.7130,  62.4600,1009.4500, 245.2900,   0.1760
   383,07/07/2018 01:05:18,41, 298.6540,  61.3700,1009.5500, 245.5700,   0.1770
   386,07/07/2018 01:05:57,41, 298.7130,  62.5900,1009.4500, 245.7300,   0.1690
   389,07/07/2018 01:06:35,41, 298.7130,  61.9200,1009.4500, 245.4400,   0.1580
   392,07/07/2018 01:07:14,41, 298.9200,  63.5000,1009.4500, 245.8600,   0.1760
   402,07/07/2018 01:09:32,41, 298.9350,  60.5600,1009.4500, 246.1700,   0.1760
   405,07/07/2018 01:10:11,41, 298.9900,  61.6500,1009.4500, 246.4000,   0.1730
   408,07/07/2018 01:10:50,41, 299.0060,  60.7200,1009.4500, 245.9200,   0.1760
   411,07/07/2018 01:11:30,41, 299.0210,  60.1200,1009.5500, 245.5500,   0.1760
   414,07/07/2018 01:12:09,41, 299.0600,  61.6700,1009.4500, 245.8400,   0.1700
   424,07/07/2018 01:14:26,41, 299.0060,  61.4500,1009.4500, 245.4000,   0.1690
   427,07/07/2018 01:15:06,41, 299.1460,  61.9700,1009.4500, 245.7600,   0.1760
   430,07/07/2018 01:15:45,41, 299.0920,  60.1100,1009.4500, 245.6300,   0.1760
   433,07/07/2018 01:16:24,41, 299.2990,  62.2800,1009.5500, 246.2800,   0.1770
   436,07/07/2018 01:17:04,41, 299.3850,  62.6200,1009.5500, 246.4700,   0.1620
   446,07/07/2018 01:19:21,41, 299.1460,  61.8800,1009.5500, 246.2100,   0.1710
   449,07/07/2018 01:20:00,41, 299.1310,  61.5400,1009.4500, 245.9100,   0.1740
   452,07/07/2018 01:20:40,41, 299.1620,  62.6300,1009.4500, 245.5900,   0.1650
   455,07/07/2018 01:21:19,41, 299.1190,  62.3100,1009.4500, 245.3400,   0.1580
   458,07/07/2018 01:21:58,41, 299.0490,  61.6300,1009.4500, 245.5900,   0.1740
   468,07/07/2018 01:24:17,41, 299.2710,  63.2000,1009.4500, 245.6200,   0.1590
   471,07/07/2018 01:24:56,41, 299.1030,  60.9500,1009.5500, 245.1100,   0.1740
   474,07/07/2018 01:25:35,41, 299.1310,  62.2500,1009.5500, 245.7200,   0.1630
   477,07/07/2018 01:26:14,41, 299.0490,  60.5100,1009.5500, 245.5600,   0.1740
   480,07/07/2018 01:26:53,41, 299.1310,  62.3600,1009.5500, 246.0300,   0.1740
   490,07/07/2018 01:29:11,41, 299.3420,  65.1100,1009.5500, 246.0700,   0.1760
   493,07/07/2018 01:29:51,41, 299.3420,  64.1300,1009.6500, 245.4100,   0.1640
   496,07/07/2018 01:30:31,41, 299.3140,  61.1700,1009.5500, 245.1900,   0.1620
   499,07/07/2018 01:31:10,41, 299.2990,  61.6800,1009.6500, 244.9800,   0.1770
   502,07/07/2018 01:31:50,41, 299.2010,  62.0700,1009.5500, 245.4300,   0.1760
   512,07/07/2018 01:34:07,41, 299.1310,  63.0400,1009.5500, 245.2900,   0.1760
   515,07/07/2018 01:34:47,41, 299.0490,  60.9100,1009.6500, 245.2600,   0.1620
   518,07/07/2018 01:35:26,41, 299.1190,  62.3100,1009.6500, 245.5600,   0.1610
   521,07/07/2018 01:36:05,41, 299.0330,  62.5400,1009.6500, 245.6300,   0.1760
   524,07/07/2018 01:36:44,41, 298.8810,  61.9600,1009.6500, 245.8400,   0.1730
   534,07/07/2018 01:39:01,41, 298.4310,  63.0300,1009.6500, 244.9600,   0.1750
   537,07/07/2018 01:39:40,41, 298.4310,  65.8500,1009.5500, 245.3000,   0.1650
   540,07/07/2018 01:40:20,41, 298.1930,  63.1700,1009.5500, 245.4000,   0.1560
   543,07/07/2018 01:41:01,41, 298.1930,  65.4000,1009.6500, 244.8300,   0.1620
   546,07/07/2018 01:41:40,41, 298.2200,  64.9500,1009.5500, 244.9300,   0.1750
   556,07/07/2018 01:43:58,41, 298.3610,  67.1900,1009.5500, 245.9000,   0.1760
   559,07/07/2018 01:44:37,41, 298.4470,  65.9700,1009.6500, 245.5400,   0.1580
   562,07/07/2018 01:45:16,41, 298.4740,  65.9700,1009.5500, 246.0700,   0.1590
   565,07/07/2018 01:45:55,41, 298.6540,  66.6000,1009.5500, 246.0800,   0.1580
   568,07/07/2018 01:46:35,41, 298.6970,  64.6500,1009.6500, 246.2900,   0.1760
   578,07/07/2018 01:48:52,41, 298.7130,  62.8700,1009.6500, 245.6200,   0.1600
   581,07/07/2018 01:49:32,41, 298.6970,  61.5900,1009.6500, 245.6000,   0.1610
   584,07/07/2018 01:50:11,41, 298.9200,  64.1200,1009.5500, 245.6200,   0.1760
   587,07/07/2018 01:50:50,41, 298.9900,  64.8300,1009.6500, 246.2100,   0.1620
   590,07/07/2018 01:51:29,41, 298.9080,  63.0600,1009.6500, 245.3500,   0.1760
   600,07/07/2018 01:53:47,41, 298.8650,  62.9800,1009.6500, 246.0100,   0.1580
   603,07/07/2018 01:54:26,41, 298.8920,  62.6300,1009.6500, 245.3800,   0.1640
   606,07/07/2018 01:55:05,41, 298.9080,  60.3300,1009.7500, 245.9900,   0.1770
   609,07/07/2018 01:55:44,41, 299.0920,  62.0100,1009.7500, 245.9600,   0.1730
   612,07/07/2018 01:56:23,41, 299.1190,  60.5000,1009.7500, 245.5000,   0.1760
