Record,DateTime,50,Azdeg,Eldeg,TkBBK,Ch22.000,Ch22.234,Ch22.500,Ch23.000,Ch23.034,Ch23.500,Ch23.834,Ch24.000,Ch24.500,Ch25.000,Ch25.500,Ch26.000,Ch26.234,Ch26.500,Ch27.000,Ch27.500,Ch28.000,Ch28.500,Ch29.000,Ch29.500,Ch30.000,Ch51.248,Ch51.760,Ch52.280,Ch52.804,Ch53.336,Ch53.848,Ch54.400,Ch54.940,Ch55.500,Ch56.020,Ch56.660,Ch57.288,Ch57.964,Ch58.800,Ch
     1,07/07/18 00:05:16,51,  0.00, 90.00,308.106,, 71.023, 67.592,, 65.548,, 56.117,,, 44.426,,, 36.020,,,, 30.689,,,, 26.993,123.248,140.480,165.052,195.950,231.012,260.850,280.520,287.825,289.848,290.875,292.655,293.297,291.478,291.491,
     3,07/07/18 00:05:56,51,  0.00, 90.00,308.095,, 70.335, 67.318,, 64.698,, 56.113,,, 44.204,,, 36.483,,,, 30.244,,,, 27.230,125.385,141.451,165.310,195.575,231.946,259.603,279.437,290.184,292.589,289.535,290.229,291.320,292.384,292.446,
     5,07/07/18 00:06:35,51,  0.00, 90.00,308.081,, 70.840, 67.067,, 64.184,, 56.352,,, 44.512,,, 36.066,,,, 30.377,,,, 26.958,124.969,141.407,164.125,196.441,231.303,261.591,280.457,287.831,289.297,291.323,291.594,292.152,292.242,292.282,
     7,07/07/18 00:07:14,51,  0.00, 90.00,308.064,, 70.545, 67.383,, 65.007,, 56.411,,, 44.536,,, 36.166,,,, 29.578,,,, 27.655,124.187,140.649,164.759,196.230,231.953,263.565,280.399,286.721,290.867,291.740,291.800,292.471,291.702,289.735,
     9,07/07/18 00:07:57,51,  0.00, 90.00,308.042,, 70.645, 67.156,, 64.636,, 55.930,,, 44.019,,, 35.789,,,, 30.832,,,, 26.673,125.259,143.021,165.773,194.769,229.818,260.373,280.291,287.866,289.565,290.275,290.913,291.670,292.039,291.836,
    11,07/07/18 00:10:15,51,  0.00, 90.00,308.005,, 70.861, 67.380,, 64.606,, 55.922,,, 44.233,,, 36.074,,,, 29.991,,,, 26.990,124.821,144.423,167.185,195.976,232.746,263.606,281.440,286.801,289.768,290.838,291.135,291.682,293.065,291.892,
    13,07/07/18 00:11:00,51,  0.00, 90.00,308.001,, 70.662, 67.270,, 64.374,, 56.032,,, 44.151,,, 35.733,,,, 30.060,,,, 27.567,124.728,142.019,165.023,194.447,231.124,260.827,280.025,286.813,291.078,294.651,291.809,291.841,292.025,291.232,
    15,07/07/18 00:11:39,51,  0.00, 90.00,308.000,, 70.631, 67.577,, 65.098,, 56.204,,, 44.864,,, 35.827,,,, 30.553,,,, 27.222,124.564,140.701,164.618,196.191,230.871,261.200,280.416,287.594,289.450,290.626,290.416,292.927,293.815,292.126,
    17,07/07/18 00:12:24,51,  0.00, 90.00,307.994,, 70.730, 67.024,, 64.656,, 56.210,,, 44.384,,, 35.960,,,, 29.832,,,, 27.091,125.991,141.220,165.030,196.263,231.774,260.151,278.321,287.291,289.332,288.952,290.363,291.542,292.986,292.140,
    19,07/07/18 00:13:04,51,  0.00, 90.00,307.988,, 70.727, 67.343,, 64.781,, 56.235,,, 44.572,,, 36.410,,,, 30.020,,,, 26.914,125.992,142.626,164.951,193.981,230.357,260.991,280.152,286.377,289.503,289.964,290.775,291.426,292.254,291.946,
