Record,DateTime,40,TambK,Rh,Presmb,TirK,Rain
     2,07/11/18 00:05:14,41, 301.4590,  91.0700,1016.6500, 284.7200,0
     4,07/11/18 00:05:53,41, 301.5290,  89.4700,1016.6500, 285.4400,0
     6,07/11/18 00:06:32,41, 301.6810,  88.5800,1016.7500, 281.5600,0
     8,07/11/18 00:07:12,41, 301.7950,  88.1100,1016.6500, 284.1100,0
    10,07/11/18 00:07:51,41, 301.9200,  87.9800,1016.7500, 276.9700,0
    12,07/11/18 00:10:09,41, 302.2280,  88.0700,1016.7500, 277.5000,0
    14,07/11/18 00:10:48,41, 302.2710,  87.7500,1016.7500, 281.5100,0
    16,07/11/18 00:11:27,41, 302.1460,  86.5800,1016.6500, 269.9000,0
    18,07/11/18 00:12:07,41, 302.2440,  87.6400,1016.7500, 281.5400,0
    20,07/11/18 00:12:46,41, 302.2440,  87.4000,1016.6500, 277.4200,0
    22,07/11/18 00:15:04,41, 301.9900,  85.2900,1016.6500, 267.8300,0
    24,07/11/18 00:15:43,41, 302.1890,  87.5800,1016.6500, 269.8100,0
    26,07/11/18 00:16:22,41, 302.2440,  85.8900,1016.6500, 264.5600,0
    28,07/11/18 00:17:01,41, 302.5520,  84.1100,1016.6500, 268.8100,0
    30,07/11/18 00:17:41,41, 302.7050,  81.2700,1016.6500, 271.7100,0
    32,07/11/18 00:19:59,41, 302.8610,  77.8700,1016.6500, 279.0200,0
    34,07/11/18 00:20:38,41, 302.8340,  77.5300,1016.5500, 268.1100,0
    36,07/11/18 00:21:17,41, 302.8880,  76.2300,1016.6500, 272.2800,0
    38,07/11/18 00:21:56,41, 303.0560,  75.1100,1016.7500, 265.8900,0
    40,07/11/18 00:22:35,41, 303.2400,  75.2300,1016.6500, 277.4400,0
    42,07/11/18 00:24:53,41, 303.1380,  74.7900,1016.6500, 281.4500,0
    44,07/11/18 00:25:32,41, 302.9590,  74.7600,1016.6500, 292.8100,0
    46,07/11/18 00:26:12,41, 302.6930,  75.4100,1016.7500, 291.4600,0
    48,07/11/18 00:26:51,41, 302.5640,  77.3100,1016.6500, 294.7400,0
    50,07/11/18 00:27:30,41, 302.4940,  78.2500,1016.6500, 292.1100,0
    52,07/11/18 00:29:48,41, 302.9310,  80.7200,1016.5500, 275.2000,0
    54,07/11/18 00:30:28,41, 302.9430,  77.6200,1016.6500, 278.4200,0
    56,07/11/18 00:31:07,41, 303.0560,  77.7300,1016.5500, 266.5600,0
    58,07/11/18 00:31:46,41, 303.0410,  75.9800,1016.5500, 265.1100,0
    60,07/11/18 00:32:25,41, 303.1270,  77.4000,1016.6500, 275.8100,0
    62,07/11/18 00:34:43,41, 303.0680,  76.0600,1016.5500, 265.7600,0
    64,07/11/18 00:35:22,41, 303.3100,  77.0900,1016.5500, 280.9800,0
    66,07/11/18 00:36:01,41, 303.6850,  77.2900,1016.6500, 281.0800,0
    68,07/11/18 00:36:40,41, 303.7710,  73.6800,1016.5500, 273.5400,0
    70,07/11/18 00:37:19,41, 304.0250,  72.5800,1016.6500, 268.5400,0
    72,07/11/18 00:39:37,41, 303.6150,  74.6100,1016.5500, 266.8100,0
    74,07/11/18 00:40:16,41, 303.5760,  73.1100,1016.6500, 268.0500,0
    76,07/11/18 00:40:56,41, 303.6150,  72.8400,1016.6500, 269.0800,0
    78,07/11/18 00:41:36,41, 303.6150,  72.7900,1016.5500, 265.3100,0
    80,07/11/18 00:42:15,41, 303.6580,  73.5100,1016.6500, 267.1600,0
    82,07/11/18 00:44:32,41, 303.8260,  73.2500,1016.6500, 267.3700,0
    84,07/11/18 00:45:12,41, 303.9940,  73.7600,1016.5500, 265.8200,0
    86,07/11/18 00:45:51,41, 304.0640,  73.4900,1016.6500, 265.0300,0
    88,07/11/18 00:46:30,41, 304.0640,  74.3400,1016.5500, 271.3600,0
    90,07/11/18 00:47:10,41, 304.3300,  73.7000,1016.5500, 271.6600,0
    92,07/11/18 00:49:27,41, 304.5840,  68.9200,1016.6500, 292.3200,0
    94,07/11/18 00:50:06,41, 304.8380,  67.1800,1016.6500, 285.8700,0
    96,07/11/18 00:50:47,41, 305.0060,  66.4700,1016.6500, 272.5300,0
    98,07/11/18 00:51:26,41, 305.5370,  65.3700,1016.6500, 271.7900,0
   100,07/11/18 00:52:06,41, 305.6070,  64.8900,1016.6500, 287.2200,0
   102,07/11/18 00:54:25,41, 305.3960,  65.3900,1016.6500, 287.1400,0
