Record,Date/Time,10,Tamb(K),Rh(%),Pres(mb),Tir(K),Rain,Az(deg),El(deg),TkBB(K), Ch  22.234, Ch  23.034, Ch  23.834, Ch  26.234, Ch  30.000, Ch  51.248, Ch  52.280, Ch  53.848, Ch  54.940, Ch  56.660, Ch  57.288, Ch  58.800, Ch 
Record,Date/Time,40,Tamb(K),Rh(%),Pres(mb),Tir(K),Rain
Record,Date/Time,50,Az(deg),El(deg),TkBB(K), Ch  22.000, Ch  22.234, Ch  22.500, Ch  23.000, Ch  23.034, Ch  23.500, Ch  23.834, Ch  24.000, Ch  24.500, Ch  25.000, Ch  25.500, Ch  26.000, Ch  26.234, Ch  26.500, Ch  27.000, Ch  27.500, Ch  28.000, Ch  28.500, Ch  29.000, Ch  29.500, Ch  30.000, Ch  51.248, Ch  51.760, Ch  52.280, Ch  52.804, Ch  53.336, Ch  53.848, Ch  54.400, Ch  54.940, Ch  55.500, Ch  56.020, Ch  56.660, Ch  57.288, Ch  57.964, Ch  58.800, Ch 
Record,Date/Time,80,ID,SNR,Tamb(K),Rh(%),Pres(mb),Tir(K),Rain,Az(deg),El(deg),TkBB(K), Ch  22.234, Ch  23.034, Ch  23.834, Ch  26.234, Ch  30.000, Ch  51.248, Ch  52.280, Ch  53.848, Ch  54.940, Ch  56.660, Ch  57.288, Ch  58.800, Ch 
     1,07/14/18 00:05:13,51,  0.00, 90.00,315.184,, 79.979, 76.421,, 72.298,, 61.954,,, 47.339,,, 37.776,,,, 31.353,,,, 28.521,124.426,140.800,167.998,202.023,235.491,264.208,283.888,292.715,293.457,293.643,294.697,297.549,300.187,301.072,
     2,07/14/18 00:05:14,41, 304.9740,  66.8400,1011.7500, 251.2200,0
     3,07/14/18 00:05:52,51,  0.00, 90.00,315.178,, 79.416, 75.949,, 71.432,, 60.803,,, 47.141,,, 38.192,,,, 31.653,,,, 27.996,126.253,141.349,166.258,199.765,234.536,263.858,283.904,293.160,298.844,295.004,297.429,298.508,295.638,297.988,
     4,07/14/18 00:05:54,41, 304.8770,  65.6900,1011.7500, 251.2000,0
     5,07/14/18 00:06:32,51,  0.00, 90.00,315.179,, 79.437, 76.277,, 71.140,, 60.684,,, 47.228,,, 37.156,,,, 31.613,,,, 27.789,122.916,143.160,167.816,199.673,240.112,268.200,287.511,292.115,295.742,299.206,297.307,298.575,299.286,298.196,
     6,07/14/18 00:06:33,41, 304.7790,  64.9900,1011.6500, 250.1200,0
     7,07/14/18 00:07:11,51,  0.00, 90.00,315.169,, 79.167, 75.959,, 71.787,, 60.986,,, 47.176,,, 38.113,,,, 31.544,,,, 28.123,126.312,145.655,169.471,196.942,235.126,271.361,287.697,291.118,297.297,302.265,300.630,297.868,299.025,300.413,
     8,07/14/18 00:07:13,41, 304.7520,  64.7700,1011.8500, 250.8800,0
     9,07/14/18 00:07:51,51,  0.00, 90.00,315.172,, 79.804, 75.852,, 71.385,, 60.881,,, 46.734,,, 37.816,,,, 31.423,,,, 28.094,129.359,141.918,167.310,202.683,237.839,265.513,285.556,294.430,294.854,292.994,295.276,298.789,301.651,300.259,
    10,07/14/18 00:07:52,41, 304.7790,  65.9500,1011.7500, 251.0400,0
    11,07/14/18 00:10:09,51,  0.00, 90.00,315.183,, 79.478, 75.838,, 71.858,, 60.411,,, 46.627,,, 38.088,,,, 31.357,,,, 28.359,123.063,143.755,168.283,196.632,236.562,270.473,290.806,293.216,292.439,298.285,299.439,298.972,300.178,300.252,
    12,07/14/18 00:10:10,41, 304.6700,  66.0800,1011.6500, 251.1100,0
    13,07/14/18 00:11:47,51,  0.00, 90.00,315.166,, 79.728, 75.940,, 71.653,, 60.575,,, 46.862,,, 38.396,,,, 31.798,,,, 27.880,121.627,143.231,167.369,199.822,237.636,268.572,288.628,294.258,296.825,299.516,298.160,297.136,296.695,297.076,
    14,07/14/18 00:11:48,41, 304.6810,  66.1700,1011.6500, 251.2700,0
    15,07/14/18 00:12:26,51,  0.00, 90.00,315.135,, 79.610, 75.890,, 71.674,, 60.926,,, 47.242,,, 37.923,,,, 31.478,,,, 28.333,130.975,145.658,166.545,201.043,237.332,264.419,281.903,291.544,293.968,297.524,297.090,296.048,297.357,298.408,
    16,07/14/18 00:12:28,41, 304.6540,  66.3600,1011.7500, 251.2600,0
    17,07/14/18 00:13:05,51,  0.00, 90.00,315.150,, 79.678, 76.461,, 72.045,, 61.250,,, 46.500,,, 38.155,,,, 30.798,,,, 28.275,125.900,144.016,167.909,200.620,233.521,265.848,288.700,295.574,294.612,296.470,298.698,300.542,299.077,297.266,
    18,07/14/18 00:13:07,41, 304.7950,  66.6000,1011.6500, 251.5700,0
    19,07/14/18 00:13:45,51,  0.00, 90.00,315.144,, 78.854, 75.860,, 71.813,, 61.011,,, 47.001,,, 38.233,,,, 31.422,,,, 28.092,125.025,144.028,168.085,197.820,234.210,265.300,281.553,290.448,295.332,299.700,299.161,296.188,297.919,297.644,
    20,07/14/18 00:13:46,41, 304.7520,  65.5600,1011.6500, 251.3100,0
    21,07/14/18 00:16:02,51,  0.00, 90.00,315.133,, 79.645, 76.032,, 72.301,, 60.922,,, 47.030,,, 38.097,,,, 30.963,,,, 28.269,127.507,139.685,164.972,199.613,236.589,268.068,287.719,294.645,298.470,298.718,296.578,297.087,298.682,298.907,
    22,07/14/18 00:16:04,41, 304.8380,  65.7900,1011.6500, 251.8200,0
