Record,DateTime,300,Int.Vaporcm,Int.Liquidmm,CloudBasekm
    19,07/15/18 00:05:18,301,  4.006,  0.089,  8.000,
    25,07/15/18 00:05:57,301,  3.993,  0.080,  8.250,
    31,07/15/18 00:06:37,301,  3.957,  0.097,  8.250,
    37,07/15/18 00:07:16,301,  3.947,  0.098,  8.250,
    43,07/15/18 00:07:55,301,  3.948,  0.078,  8.250,
    49,07/15/18 00:10:12,301,  3.933,  0.088,  8.000,
    55,07/15/18 00:10:51,301,  3.967,  0.072,  8.250,
    61,07/15/18 00:11:30,301,  3.936,  0.077,  8.000,
    67,07/15/18 00:12:10,301,  3.952,  0.080,  8.250,
    73,07/15/18 00:12:49,301,  3.945,  0.077,  8.250,
    79,07/15/18 00:15:07,301,  3.939,  0.095,  8.250,
    85,07/15/18 00:15:46,301,  3.926,  0.089,  8.250,
    91,07/15/18 00:16:25,301,  3.919,  0.078,  8.250,
    97,07/15/18 00:17:04,301,  3.919,  0.085,  8.250,
   103,07/15/18 00:17:44,301,  3.929,  0.091,  8.250,
   109,07/15/18 00:20:01,301,  3.963,  0.068,  8.250,
   115,07/15/18 00:20:41,301,  3.960,  0.104,  8.250,
   121,07/15/18 00:21:21,301,  3.954,  0.065,  8.250,
   127,07/15/18 00:22:01,301,  3.902,  0.116,  8.250,
   133,07/15/18 00:22:40,301,  3.907,  0.094,  8.250,
   139,07/15/18 00:24:58,301,  3.947,  0.058,  8.250,
   145,07/15/18 00:25:37,301,  3.921,  0.087,  8.500,
   151,07/15/18 00:26:16,301,  3.911,  0.097,  8.250,
   157,07/15/18 00:26:55,301,  3.953,  0.079,  8.000,
   163,07/15/18 00:27:35,301,  3.951,  0.076,  8.250,
   169,07/15/18 00:29:53,301,  3.898,  0.093,  8.250,
   175,07/15/18 00:30:32,301,  3.875,  0.134,  8.250,
   181,07/15/18 00:31:12,301,  3.944,  0.069,  8.000,
   187,07/15/18 00:31:51,301,  3.910,  0.055,  8.500,
   193,07/15/18 00:32:39,301,  3.794,  0.205,  8.500,
   199,07/15/18 00:34:56,301,  3.998,  0.001,  8.000,
   205,07/15/18 00:35:36,301,  3.904,  0.097,  8.250,
   211,07/15/18 00:36:15,301,  3.963,  0.023,  8.000,
   217,07/15/18 00:36:55,301,  3.890,  0.058,  8.500,
   223,07/15/18 00:37:34,301,  3.903,  0.093,  8.250,
   229,07/15/18 00:40:09,301,  3.820,  0.133,  7.750,
   235,07/15/18 00:40:50,301,  3.903,  0.060,  8.250,
   241,07/15/18 00:41:30,301,  3.870,  0.075,  8.500,
   247,07/15/18 00:42:09,301,  3.864,  0.097,  8.500,
   253,07/15/18 00:42:48,301,  3.893,  0.047,  8.250,
   259,07/15/18 00:45:06,301,  3.967,  0.030,  7.750,
   265,07/15/18 00:45:45,301,  3.823,  0.140,  8.500,
   271,07/15/18 00:46:24,301,  3.878,  0.099,  8.000,
   277,07/15/18 00:47:03,301,  3.952,  0.023,  8.000,
   283,07/15/18 00:47:43,301,  3.937,  0.089,  8.250,
   289,07/15/18 00:50:00,301,  3.854,  0.142,  8.250,
   295,07/15/18 00:50:40,301,  3.943,  0.052,  8.000,
   301,07/15/18 00:51:19,301,  3.802,  0.192,  8.250,
   307,07/15/18 00:51:58,301,  3.899,  0.114,  8.250,
   313,07/15/18 00:52:38,301,  3.883,  0.100,  8.250,
   319,07/15/18 00:54:55,301,  3.960,  0.037,  8.250,
   325,07/15/18 00:55:34,301,  3.868,  0.086,  8.250,
   331,07/15/18 00:56:14,301,  3.872,  0.149,  8.500,
   337,07/15/18 00:56:52,301,  3.934,  0.054,  8.250,
   343,07/15/18 00:57:32,301,  4.023,  0.000,  8.250,
   349,07/15/18 00:59:49,301,  3.894,  0.134,  8.000,
   355,07/15/18 01:00:29,301,  3.904,  0.105,  8.500,
   361,07/15/18 01:01:08,301,  3.986,  0.036,  8.000,
   367,07/15/18 01:01:47,301,  3.870,  0.124,  8.500,
   373,07/15/18 01:02:26,301,  4.009,  0.003,  8.000,
   379,07/15/18 01:04:44,301,  3.948,  0.071,  8.500,
   385,07/15/18 01:05:23,301,  3.947,  0.056,  8.250,
   391,07/15/18 01:06:02,301,  3.964,  0.066,  8.000,
   397,07/15/18 01:06:41,301,  3.925,  0.046,  8.250,
   403,07/15/18 01:07:21,301,  3.955,  0.049,  8.500,
   409,07/15/18 01:09:38,301,  3.959,  0.058,  8.250,
   415,07/15/18 01:10:18,301,  3.979,  0.034,  8.000,
   421,07/15/18 01:10:57,301,  3.959,  0.053,  8.250,
   427,07/15/18 01:11:36,301,  4.002,  0.018,  8.000,
   433,07/15/18 01:12:15,301,  4.002,  0.000,  8.250,
   439,07/15/18 01:14:33,301,  3.952,  0.057,  8.250,
   445,07/15/18 01:15:12,301,  3.905,  0.083,  8.250,
   451,07/15/18 01:15:51,301,  3.889,  0.091,  8.250,
   457,07/15/18 01:16:31,301,  3.913,  0.067,  8.250,
   463,07/15/18 01:17:10,301,  3.977,  0.016,  8.500,
   469,07/15/18 01:19:27,301,  3.913,  0.076,  8.250,
   475,07/15/18 01:20:07,301,  3.925,  0.041,  8.500,
   481,07/15/18 01:20:46,301,  3.926,  0.094,  8.250,
   487,07/15/18 01:21:25,301,  3.962,  0.036,  8.250,
   493,07/15/18 01:22:04,301,  3.976,  0.021,  8.000,
   499,07/15/18 01:24:22,301,  3.960,  0.085,  8.000,
   505,07/15/18 01:25:01,301,  3.992,  0.011,  8.000,
   511,07/15/18 01:25:40,301,  3.951,  0.093,  8.250,
   517,07/15/18 01:26:19,301,  3.947,  0.069,  8.250,
   523,07/15/18 01:26:58,301,  3.971,  0.085,  8.250,
   529,07/15/18 01:29:16,301,  3.948,  0.078,  8.000,
   535,07/15/18 01:29:56,301,  3.963,  0.108,  8.000,
   541,07/15/18 01:30:36,301,  3.979,  0.068,  8.000,
   547,07/15/18 01:31:15,301,  3.991,  0.087,  8.250,
   553,07/15/18 01:31:54,301,  4.057,  0.030,  8.250,
   559,07/15/18 01:34:12,301,  4.038,  0.052,  7.750,
   565,07/15/18 01:34:51,301,  3.980,  0.088,  8.000,
   571,07/15/18 01:35:30,301,  3.948,  0.140,  8.250,
   577,07/15/18 01:36:09,301,  4.014,  0.075,  8.000,
   583,07/15/18 01:36:48,301,  4.039,  0.066,  7.750,
   589,07/15/18 01:39:06,301,  4.022,  0.079,  8.250,
   595,07/15/18 01:39:45,301,  4.019,  0.072,  8.250,
   601,07/15/18 01:40:26,301,  4.093,  0.075,  8.000,
   607,07/15/18 01:41:05,301,  4.051,  0.088,  8.000,
   613,07/15/18 01:41:44,301,  4.010,  0.114,  8.000,
   619,07/15/18 01:44:03,301,  4.090,  0.084,  7.500,
   625,07/15/18 01:44:42,301,  4.070,  0.100,  7.750,
   631,07/15/18 01:45:21,301,  4.150,  0.032,  7.750,
   637,07/15/18 01:46:00,301,  4.057,  0.112,  8.000,
   643,07/15/18 01:46:39,301,  4.065,  0.102,  7.750,
   649,07/15/18 01:48:57,301,  4.024,  0.111,  8.000,
   655,07/15/18 01:49:36,301,  4.075,  0.101,  7.750,
   661,07/15/18 01:50:15,301,  4.038,  0.116,  8.000,
   667,07/15/18 01:50:55,301,  4.062,  0.101,  7.750,
   673,07/15/18 01:51:34,301,  4.079,  0.091,  7.750,
   679,07/15/18 01:53:53,301,  4.104,  0.096,  7.750,
   685,07/15/18 01:54:32,301,  4.084,  0.094,  7.750,
   691,07/15/18 01:55:11,301,  4.036,  0.109,  7.750,
   697,07/15/18 01:55:50,301,  4.029,  0.109,  8.000,
   703,07/15/18 01:56:29,301,  4.063,  0.088,  7.750,
   709,07/15/18 01:58:47,301,  4.072,  0.098,  7.750,
   715,07/15/18 01:59:26,301,  4.089,  0.099,  8.000,
   721,07/15/18 02:00:06,301,  4.099,  0.109,  7.750,
   727,07/15/18 02:00:46,301,  4.073,  0.094,  8.000,
   733,07/15/18 02:01:25,301,  4.069,  0.101,  7.750,
   739,07/15/18 02:03:43,301,  4.087,  0.093,  7.750,
   745,07/15/18 02:04:22,301,  4.065,  0.094,  7.750,
   751,07/15/18 02:05:01,301,  4.072,  0.089,  7.750,
   757,07/15/18 02:05:41,301,  4.069,  0.097,  7.750,
   763,07/15/18 02:06:20,301,  4.013,  0.105,  8.000,
   769,07/15/18 02:08:37,301,  4.079,  0.108,  7.750,
   775,07/15/18 02:09:17,301,  4.061,  0.101,  7.750,
   781,07/15/18 02:09:56,301,  4.076,  0.104,  7.750,
   787,07/15/18 02:10:36,301,  4.089,  0.091,  7.750,
   793,07/15/18 02:11:15,301,  4.100,  0.089,  7.750,
   799,07/15/18 02:13:32,301,  4.117,  0.091,  7.750,
   805,07/15/18 02:14:12,301,  4.113,  0.101,  7.750,
   811,07/15/18 02:14:51,301,  4.145,  0.092,  7.750,
   817,07/15/18 02:15:31,301,  4.107,  0.107,  8.000,
   823,07/15/18 02:16:10,301,  4.089,  0.090,  7.750,
   829,07/15/18 02:18:28,301,  4.094,  0.095,  8.000,
   835,07/15/18 02:19:07,301,  4.078,  0.090,  8.000,
   841,07/15/18 02:19:46,301,  4.065,  0.096,  8.000,
   847,07/15/18 02:20:25,301,  4.053,  0.104,  7.750,
   853,07/15/18 02:21:05,301,  4.087,  0.099,  7.750,
   859,07/15/18 02:23:23,301,  4.103,  0.103,  7.750,
   865,07/15/18 02:24:03,301,  4.089,  0.101,  7.750,
