Record,Date/Time,10,Freq,Rcvr,Alpha,dTdG,K1,K2,K3,K4,Tnd
     1,07/15/2018 00:04:32,11, 22.000,0, 0.990420,  -522821.18,  0.55631077E+02, -0.11298425E+01,  0.55395653E-02, -0.79484273E-05, 202.52
     2,07/15/2018 00:04:32,11, 22.234,0, 0.998330,  -526099.25, -0.58891494E+03,  0.61485492E+01, -0.21463852E-01,  0.25050048E-04, 201.80
     3,07/15/2018 00:04:32,11, 22.500,0, 0.998550,  -497896.31, -0.30719799E+02,  0.33228168E+00, -0.14761064E-02,  0.23985674E-05, 194.66
     4,07/15/2018 00:04:32,11, 23.000,0, 0.999350,  -491340.93, -0.26834972E+02,  0.23040528E+00, -0.69130142E-03,  0.74442946E-06, 164.51
     5,07/15/2018 00:04:32,11, 23.034,0, 0.998920,  -471854.14,  0.34570782E+03, -0.35843588E+01,  0.12177431E-01, -0.13545685E-04, 161.93
     6,07/15/2018 00:04:32,11, 23.500,0, 0.998000,  -458488.50, -0.18654943E+03,  0.19420094E+01, -0.67472235E-02,  0.78235354E-05, 139.23
     7,07/15/2018 00:04:32,11, 23.834,0, 0.998760,  -443142.39, -0.70008956E+03,  0.71579588E+01, -0.24371814E-01,  0.27633403E-04, 125.74
     8,07/15/2018 00:04:32,11, 24.000,0, 0.998930,  -425806.91, -0.78894634E+02,  0.79464585E+00, -0.27313362E-02,  0.32044246E-05, 121.57
     9,07/15/2018 00:04:32,11, 24.500,0, 0.996100,  -420555.62, -0.24482681E+03,  0.25028537E+01, -0.85575056E-02,  0.97866030E-05, 112.93
    10,07/15/2018 00:04:32,11, 25.000,0, 0.997900,  -419212.37, -0.21760618E+03,  0.22018348E+01, -0.74555551E-02,  0.84499679E-05, 111.01
    11,07/15/2018 00:04:32,11, 25.500,0, 0.996590,  -350355.50, -0.67040129E+02,  0.56843600E+00, -0.16372826E-02,  0.16355388E-05, 115.69
    12,07/15/2018 00:04:32,11, 26.000,0, 0.997270,  -405048.28,  0.37139994E+01, -0.13398144E+00,  0.69118214E-03, -0.94254786E-06, 135.47
    13,07/15/2018 00:04:32,11, 26.234,0, 0.998570,  -362499.16, -0.19960195E+03,  0.20529035E+01, -0.70823139E-02,  0.81956017E-05, 137.80
    14,07/15/2018 00:04:32,11, 26.500,0, 0.999160,  -381022.94, -0.11743274E+03,  0.11850354E+01, -0.40048155E-02,  0.45339070E-05, 136.17
    15,07/15/2018 00:04:32,11, 27.000,0, 0.997780,  -365182.85, -0.89628384E+02,  0.85141332E+00, -0.27462610E-02,  0.30209960E-05, 126.25
    16,07/15/2018 00:04:32,11, 27.500,0, 0.997640,  -342718.22, -0.46312602E+02,  0.45109653E+00, -0.15122384E-02,  0.17497174E-05, 113.23
    17,07/15/2018 00:04:32,11, 28.000,0, 0.998550,  -387690.38, -0.11710820E+03,  0.12131660E+01, -0.41884467E-02,  0.48193212E-05, 112.69
    18,07/15/2018 00:04:32,11, 28.500,0, 0.996380,  -378648.46, -0.11704098E+03,  0.11771544E+01, -0.39762234E-02,  0.45129605E-05,  96.42
    19,07/15/2018 00:04:32,11, 29.000,0, 0.996600,  -370650.60, -0.80617683E+02,  0.82249638E+00, -0.28337851E-02,  0.32971856E-05,  84.56
    20,07/15/2018 00:04:32,11, 29.500,0, 0.996140,  -381985.85, -0.12757593E+03,  0.12837891E+01, -0.43448930E-02,  0.49482388E-05, 103.93
    21,07/15/2018 00:04:32,11, 30.000,0, 0.998090,  -485519.98, -0.17352383E+03,  0.17292957E+01, -0.58248531E-02,  0.66381658E-05, 153.41
Record,Date/Time,30,TkBB(K),Tnd(K) Ch  22.000,R Ch  22.000,Tnd(K) Ch  22.234,R Ch  22.234,Tnd(K) Ch  22.500,R Ch  22.500,Tnd(K) Ch  23.000,R Ch  23.000,Tnd(K) Ch  23.034,R Ch  23.034,Tnd(K) Ch  23.500,R Ch  23.500,Tnd(K) Ch  23.834,R Ch  23.834,Tnd(K) Ch  24.000,R Ch  24.000,Tnd(K) Ch  24.500,R Ch  24.500,Tnd(K) Ch  25.000,R Ch  25.000,Tnd(K) Ch  25.500,R Ch  25.500,Tnd(K) Ch  26.000,R Ch  26.000,Tnd(K) Ch  26.234,R Ch  26.234,Tnd(K) Ch  26.500,R Ch  26.500,Tnd(K) Ch  27.000,R Ch  27.000,Tnd(K) Ch  27.500,R Ch  27.500,Tnd(K) Ch  28.000,R Ch  28.000,Tnd(K) Ch  28.500,R Ch  28.500,Tnd(K) Ch  29.000,R Ch  29.000,Tnd(K) Ch  29.500,R Ch  29.500,Tnd(K) Ch  30.000,R Ch  30.000
Record,Date/Time,20,TkBB(K),Tnd(K) Ch  1,R Ch  1,Tnd(K) Ch  2,R Ch  2,Tnd(K) Ch  3,R Ch  3,Tnd(K) Ch  4,R Ch  4,Tnd(K) Ch  5,R Ch  5
    22,07/15/2018 00:09:34,31,316.608, 199.714, 0.998961, 200.258, 0.999303, 189.644, 0.999604, 161.503, 0.999851, 158.475, 0.999501, 137.349, 0.999667, 123.615, 0.999600, 120.274, 1.000000, 111.167, 0.999391, 109.971, 0.999151, 114.523, 0.998978, 134.241, 0.999294, 136.389, 0.999190, 135.483, 0.999113, 125.081, 0.999042, 112.138, 0.999490, 111.705, 0.999071,  95.364, 0.999319,  83.802, 0.999568, 103.266, 0.999206, 151.457, 0.999257
    23,07/15/2018 00:14:28,31,316.676, 199.863, 0.998935, 199.809, 0.998669, 189.436, 0.999427, 161.356, 0.999509, 158.426, 0.999113, 137.282, 0.999169, 123.578, 0.999468, 120.293, 1.000000, 111.228, 0.999428, 110.143, 0.999081, 114.496, 0.998772, 134.093, 0.998841, 136.361, 0.999077, 135.420, 0.999057, 125.009, 0.998537, 112.212, 0.998982, 111.505, 0.998878,  95.590, 0.999351,  83.732, 0.998990, 103.370, 0.998694, 151.531, 0.999066
    24,07/15/2018 00:19:22,31,316.684, 199.491, 0.999343, 199.799, 0.999317, 189.527, 0.999793, 161.245, 0.999775, 158.150, 0.999719, 137.228, 0.999645, 123.471, 0.999853, 120.205, 1.000000, 111.188, 0.999427, 109.753, 0.999517, 114.376, 0.999206, 133.960, 0.999521, 136.261, 0.999403, 135.308, 0.999349, 124.905, 0.999523, 112.221, 0.999781, 111.508, 0.999793,  95.457, 0.999825,  83.820, 0.999729, 103.339, 0.999356, 151.469, 0.999659
    25,07/15/2018 00:24:19,31,316.639, 198.763, 0.999148, 198.901, 0.999303, 188.820, 0.999789, 160.848, 0.999768, 157.395, 0.999678, 136.628, 0.999623, 123.069, 0.999877, 120.499, 1.000000, 110.711, 0.999577, 109.544, 0.999180, 114.040, 0.999024, 133.816, 0.999355, 135.904, 0.999553, 134.846, 0.999551, 124.766, 0.999410, 111.877, 0.999798, 111.399, 0.999825,  95.351, 0.999851,  83.558, 0.999658, 103.175, 0.999326, 151.284, 0.999724
    26,07/15/2018 00:29:14,31,316.608, 198.777, 0.999722, 199.645, 0.999767, 189.164, 0.999752, 161.178, 0.999889, 157.807, 0.999855, 137.200, 0.999917, 123.378, 0.999758, 121.215, 1.000000, 111.230, 0.999766, 110.055, 0.999903, 114.323, 0.999596, 134.190, 0.999776, 136.458, 0.999638, 135.275, 0.999799, 125.105, 0.999599, 112.292, 0.999768, 111.638, 0.999844,  95.602, 0.999622,  83.736, 0.999771, 103.664, 0.999727, 151.759, 0.999762
    27,07/15/2018 00:34:17,31,316.554, 198.017, 0.999756, 198.728, 0.999536, 188.475, 0.999803, 160.379, 0.999916, 157.371, 0.999848, 136.616, 0.999935, 122.964, 0.999764, 119.769, 1.000000, 110.814, 0.999705, 109.642, 0.999853, 114.295, 0.999599, 133.904, 0.999825, 135.852, 0.999642, 134.848, 0.999616, 124.869, 0.999529, 112.074, 0.999514, 111.338, 0.999726,  95.262, 0.999544,  83.554, 0.999740, 103.040, 0.999681, 151.210, 0.999792
    28,07/15/2018 00:39:29,31,316.513, 198.620, 0.999654, 198.287, 0.999530, 188.240, 0.999661, 160.640, 0.999897, 157.081, 0.999721, 136.392, 0.999859, 123.067, 0.999726, 120.120, 1.000000, 110.602, 0.999718, 109.678, 0.999770, 114.209, 0.999279, 133.924, 0.999712, 136.016, 0.999673, 135.019, 0.999567, 124.801, 0.999508, 111.999, 0.999631, 111.383, 0.999769,  95.306, 0.999760,  83.613, 0.999632, 103.336, 0.999541, 151.583, 0.999550
    29,07/15/2018 00:44:27,31,316.440, 198.627, 0.999808, 198.732, 0.999522, 188.969, 0.999642, 160.691, 0.999576, 157.263, 0.999466, 136.823, 0.999725, 123.125, 0.999516, 120.470, 1.000000, 110.773, 0.999620, 109.627, 0.999838, 114.210, 0.999425, 134.035, 0.999703, 136.150, 0.999755, 135.069, 0.999786, 125.050, 0.999757, 112.222, 0.999721, 111.423, 0.999708,  95.394, 0.999608,  83.682, 0.999911, 103.205, 0.999637, 151.284, 0.999672
    30,07/15/2018 00:49:21,31,316.386, 198.894, 0.999846, 198.661, 0.999607, 188.777, 0.999378, 160.822, 0.999424, 157.304, 0.999665, 136.738, 0.999541, 123.230, 0.999436, 120.658, 1.000000, 110.869, 0.999683, 109.632, 0.999816, 114.391, 0.999555, 133.831, 0.999864, 136.141, 0.999902, 135.274, 0.999818, 124.850, 0.999804, 112.178, 0.999788, 111.358, 0.999844,  95.374, 0.999662,  83.596, 0.999962, 103.231, 0.999668, 151.216, 0.999785
