Record,DateTime,50,Azdeg,Eldeg,TkBBK,Ch22.000,Ch22.234,Ch22.500,Ch23.000,Ch23.034,Ch23.500,Ch23.834,Ch24.000,Ch24.500,Ch25.000,Ch25.500,Ch26.000,Ch26.234,Ch26.500,Ch27.000,Ch27.500,Ch28.000,Ch28.500,Ch29.000,Ch29.500,Ch30.000,Ch51.248,Ch51.760,Ch52.280,Ch52.804,Ch53.336,Ch53.848,Ch54.400,Ch54.940,Ch55.500,Ch56.020,Ch56.660,Ch57.288,Ch57.964,Ch58.800,Ch
     1,07/05/18 00:05:13,51,  0.00, 90.00,308.830,,203.663,204.910,,204.150,,197.607,,,191.799,,,192.337,,,,195.166,,,,199.496,260.181,264.685,269.490,276.266,283.423,289.742,293.735,295.771,296.285,297.098,296.964,296.121,296.874,297.320,
     3,07/05/18 00:05:53,51,  0.00, 90.00,308.829,,202.394,202.066,,200.623,,194.581,,,187.972,,,188.897,,,,191.747,,,,196.676,258.829,262.840,269.051,275.937,282.770,289.039,291.784,293.101,294.970,296.850,297.119,297.232,297.327,297.065,
     5,07/05/18 00:06:31,51,  0.00, 90.00,308.812,,205.568,205.492,,204.339,,198.780,,,193.277,,,194.378,,,,197.361,,,,203.294,263.095,266.777,272.586,278.576,285.031,290.510,293.856,295.188,296.540,296.658,296.698,296.619,296.589,296.630,
     7,07/05/18 00:07:10,51,  0.00, 90.00,308.820,,205.859,207.660,,205.924,,201.230,,,194.846,,,196.188,,,,199.734,,,,204.713,264.671,267.301,271.783,278.434,284.411,290.195,294.297,297.208,298.242,296.286,296.539,296.871,297.217,298.094,
     9,07/05/18 00:07:50,51,  0.00, 90.00,308.787,,206.917,205.682,,204.732,,199.649,,,193.422,,,194.510,,,,197.999,,,,203.216,260.478,266.867,271.720,277.685,285.245,289.209,292.871,295.554,296.339,296.463,296.937,297.760,297.452,297.380,
    11,07/05/18 00:08:49,51,  0.00, 90.00,308.783,,208.493,207.410,,206.677,,201.033,,,195.539,,,196.774,,,,200.511,,,,205.514,265.441,266.171,272.530,279.250,284.927,289.678,293.602,295.061,295.104,295.214,295.984,296.676,297.190,297.087,
    13,07/05/18 00:09:28,51,  0.00, 90.00,308.776,,209.848,210.155,,209.664,,204.758,,,199.687,,,200.851,,,,204.399,,,,209.874,268.179,269.683,274.022,280.091,286.127,290.674,293.504,294.252,296.788,296.660,296.984,297.252,299.823,298.978,
    15,07/05/18 00:10:07,51,  0.00, 90.00,308.770,,212.244,211.772,,210.938,,206.413,,,201.304,,,202.948,,,,206.071,,,,212.151,269.708,272.474,276.111,281.011,287.223,291.405,294.475,295.903,296.385,296.221,296.451,297.410,297.475,297.004,
    17,07/05/18 00:10:46,51,  0.00, 90.00,308.766,,213.463,212.744,,212.271,,207.198,,,201.959,,,203.474,,,,206.790,,,,212.618,268.965,271.857,275.968,280.983,285.908,289.620,291.099,294.590,296.070,295.853,296.581,297.219,297.505,297.172,
    19,07/05/18 00:11:25,51,  0.00, 90.00,308.762,,216.511,216.588,,215.916,,211.563,,,206.533,,,208.703,,,,212.024,,,,217.234,271.146,273.428,277.668,282.025,287.505,291.298,294.862,295.514,295.600,296.601,296.892,297.206,298.043,296.986,
    21,07/05/18 00:12:25,51,  0.00, 90.00,308.750,,217.826,217.271,,216.155,,211.149,,,206.412,,,207.680,,,,211.277,,,,216.185,269.163,271.697,275.305,282.227,289.867,293.340,295.912,296.800,296.155,297.453,297.011,297.326,298.044,298.276,
    23,07/05/18 00:13:04,51,  0.00, 90.00,308.768,,216.053,216.417,,215.888,,210.656,,,205.463,,,206.672,,,,209.744,,,,213.860,267.419,270.304,274.341,279.986,286.054,292.390,295.370,295.811,296.970,296.920,296.697,297.014,296.962,297.482,
    25,07/05/18 00:13:43,51,  0.00, 90.00,308.757,,216.095,215.501,,214.551,,209.077,,,203.138,,,204.374,,,,208.226,,,,212.966,265.977,270.180,274.842,280.045,285.739,290.895,294.526,295.514,297.207,297.392,297.245,296.628,296.435,297.357,
    27,07/05/18 00:14:23,51,  0.00, 90.00,308.750,,215.934,215.989,,215.245,,209.522,,,204.580,,,206.207,,,,208.813,,,,213.126,265.968,268.981,275.104,279.469,285.608,291.038,294.253,295.636,297.270,297.249,296.940,297.523,298.411,297.400,
    29,07/05/18 00:15:02,51,  0.00, 90.00,308.733,,211.475,212.580,,211.498,,206.424,,,200.122,,,201.762,,,,205.035,,,,209.898,264.587,268.740,273.476,279.174,285.004,288.772,292.543,296.078,295.852,296.743,297.348,297.008,297.869,297.994,
    31,07/05/18 00:16:02,51,  0.00, 90.00,308.758,,212.852,213.111,,211.786,,207.005,,,200.986,,,202.069,,,,205.664,,,,209.570,265.754,269.220,273.754,276.564,282.087,290.215,293.991,295.508,296.427,296.375,297.151,297.245,298.109,297.252,
    33,07/05/18 00:16:41,51,  0.00, 90.00,308.769,,210.376,210.570,,209.746,,204.679,,,197.950,,,200.024,,,,202.472,,,,207.213,262.918,266.893,271.934,279.652,288.115,290.834,293.921,295.426,296.521,296.888,296.001,297.853,299.466,297.254,
    35,07/05/18 00:17:20,51,  0.00, 90.00,308.748,,209.266,209.899,,209.055,,203.782,,,198.111,,,198.533,,,,201.413,,,,205.724,264.218,267.616,272.783,278.403,284.994,290.155,293.880,295.575,295.883,296.701,296.866,296.748,296.553,297.245,
    37,07/05/18 00:17:59,51,  0.00, 90.00,308.748,,211.437,210.821,,210.286,,204.996,,,199.227,,,200.462,,,,203.788,,,,209.120,268.086,271.355,275.753,281.297,286.769,290.321,294.121,295.593,296.189,296.908,296.262,297.423,298.943,298.039,
    39,07/05/18 00:18:39,51,  0.00, 90.00,308.752,,216.022,215.538,,215.307,,210.493,,,205.792,,,207.808,,,,211.524,,,,216.777,272.167,276.114,280.483,283.596,287.730,291.875,293.999,295.222,297.217,296.749,296.760,297.155,298.451,297.215,
    41,07/05/18 00:19:38,51,  0.00, 90.00,308.759,,217.184,216.097,,216.036,,211.737,,,206.480,,,209.166,,,,213.208,,,,219.153,276.686,278.709,281.203,285.164,289.538,292.661,294.858,295.485,295.659,295.320,296.702,297.297,297.215,296.261,
