Record,DateTime,90,RainV,V1,V2,TkBB1K,TkBB2K,TCabK,Tirt0K,Tirt1K,T5K,T6K,T7K,Vdist,12V,8V,5V,3.3V,2.5V,5V,2.5VR,PresTK,PresV,PresrefV,Presmb,TambK,Rh,TirtK,TECV0,TEC0,Tant0K,Tknd0K,Tif0K,TCase0K,RCV08V,Vnd0on,Vnd0off,TECV1,TEC1,Tant1K,Tknd1K,Tif1K,TCase1K,RCV18V,Vnd1on,Vnd1off,R44,EWTilt,NSTilt,R47
  113,07/07/2018 00:04:36,91,   0.17271,   0.00115,   0.00121, 309.67200, 309.56900,   0.00300, 305.63800, 302.49500,   0.00100,   0.00200,   0.00300,  24.33073,  12.07589,   8.04283,   4.99403,   3.28044,   2.47984,  -4.66557,   2.50184, 311.41000,   1.74621,   2.49640,1010.70000, 297.63800,  69.30000, 247.71000,  -2.67426,  -4.66800, 323.05400, 323.10000, 326.04600, 310.46800,   8.13407,   9.37395,   2.33520,  -2.04228,  -2.41900, 322.51600, 323.15600, 326.23800, 310.35100,   8.02221,   9.89989,   2.43080, 270.00000,  -0.16230,   0.13763,9999.99000
  129,07/07/2018 00:08:05,91,   0.17703,   0.00131,   0.00038, 309.58700, 309.49100,   0.01000, 305.49000, 302.36200,   0.00100,   0.00500,   0.00100,  24.33229,  12.07543,   8.04276,   4.99493,   3.28038,   2.47985,  -4.66773,   2.50173, 311.28600,   1.74639,   2.49636,1010.74000, 298.01700,  68.72200, 247.15000,  -2.35897,  -3.50800, 323.06900, 323.14800, 326.06600, 310.40200,   8.13245,   9.37359,   2.31970,  -1.68315,  -1.39600, 322.53200, 323.15500, 326.21800, 310.31500,   8.01934,   9.89776,   2.41808, 270.00000,  -0.17287,   0.23280,9999.99000
  151,07/07/2018 00:13:12,91,   0.16002,   0.00103,   0.00015, 309.51800, 309.42500,   0.00000, 305.58000, 302.63400,   0.00000,   0.00100,   0.00000,  24.32816,  12.07523,   8.04245,   4.99451,   3.28028,   2.47969,  -4.66746,   2.50173, 311.14300,   1.74651,   2.49628,1010.75000, 298.15700,  68.21000, 247.05000,  -2.75151,  -5.12300, 323.04700, 323.14200, 326.02500, 310.50100,   8.13253,   9.37459,   2.31919,  -2.28755,  -3.48800, 322.52800, 323.14200, 326.20800, 310.36400,   8.02211,   9.90221,   2.42882, 270.00000,  -0.23632,   0.26453,9999.99000
  173,07/07/2018 00:18:11,91,   0.15788,   0.00167,   0.00000, 309.49300, 309.40400,   0.00100, 305.54700, 302.46300,   0.00200,   0.00200,   0.00000,  24.33024,  12.07555,   8.04286,   4.99469,   3.28041,   2.47982,  -4.66643,   2.50179, 311.10800,   1.74620,   2.49641,1010.69000, 298.15700,  70.30400, 244.88000,  -2.42175,  -3.67600, 323.02900, 323.12700, 325.97900, 310.46800,   8.13463,   9.37443,   2.32398,  -2.32355,  -3.39700, 322.49700, 323.14500, 326.18900, 310.37300,   8.02052,   9.90111,   2.43360, 270.00000,  -0.23632,   0.23280,9999.99000
  195,07/07/2018 00:23:08,91,   0.17619,   0.00112,   0.00114, 309.47000, 309.38000,   0.02500, 305.64300, 303.31500,   0.00200,   0.00200,   0.00400,  24.33058,  12.07558,   8.04300,   4.99512,   3.28047,   2.47985,  -4.66688,   2.50186, 311.07300,   1.74522,   2.49640,1010.54000, 298.74700,  66.41700, 245.13000,  -2.91854,  -5.91600, 323.03400, 323.14500, 326.00900, 310.51600,   8.13220,   9.37451,   2.25158,  -2.07408,  -2.63600, 322.49000, 323.15900, 326.22500, 310.39000,   8.02018,   9.90179,   2.42857, 270.00000,  -0.22575,   0.11648,9999.99000
  217,07/07/2018 00:28:02,91,   0.17693,   0.00114,   0.00034, 309.47500, 309.38400,   0.00200, 305.80600, 303.61000,   0.00200,   0.00200,   0.00200,  24.33020,  12.07564,   8.04294,   4.99435,   3.28043,   2.47982,  -4.66768,   2.50187, 311.09300,   1.74565,   2.49636,1010.61000, 298.93100,  64.57400, 246.20000,  -2.23426,  -3.20000, 323.02000, 323.13000, 326.01500, 310.53600,   8.13396,   9.37283,   2.32012,  -1.99716,  -2.44000, 322.40200, 323.10700, 326.21100, 310.47700,   8.02136,   9.89885,   2.42865, 270.00000,  -0.22575,   0.24338,9999.99000
  239,07/07/2018 00:32:57,91,   0.17756,   0.00124,   0.00067, 309.51100, 309.41700,   0.00300, 305.98500, 303.99300,   0.00100,   0.00100,   0.00300,  24.33162,  12.07596,   8.04320,   4.99520,   3.28053,   2.47992,  -4.66633,   2.50190, 311.16700,   1.74610,   2.49644,1010.67000, 299.41900,  63.91400, 249.59000,  -2.53407,  -4.33900, 323.09400, 323.15600, 326.00800, 310.71000,   8.13287,   9.37342,   2.32096,  -1.19398,  -2.51300, 322.51900, 323.16600, 326.23000, 310.66600,   8.02203,   9.89851,   2.41522, 270.00000,  -0.24690,   0.23280,9999.99000
  261,07/07/2018 00:37:52,91,   0.16387,   0.00102,   0.00185, 309.55500, 309.46600,   0.00400, 305.97300, 303.44800,   0.00500,   0.00200,   0.00200,  24.33070,  12.07579,   8.04310,   4.99509,   3.28052,   2.47985,  -4.66607,   2.50187, 311.23700,   1.74640,   2.49639,1010.73000, 298.84500,  67.52300, 256.26000,  -2.68037,  -4.82900, 323.04400, 323.15600, 326.03100, 310.74200,   8.13253,   9.37518,   2.32163,  -2.16108,  -3.16300, 322.48700, 323.12300, 326.23500, 310.67800,   8.01901,   9.89952,   2.43377, 270.00000,  -0.25747,   0.25395,9999.99000
  283,07/07/2018 00:42:47,91,   0.17631,   0.00101,   0.00188, 309.60200, 309.51200,   0.00400, 306.12600, 304.13300,   0.00500,   0.01000,   0.02400,  24.33162,  12.07568,   8.04295,   4.99520,   3.28050,   2.47991,  -4.66707,   2.50183, 311.30300,   1.74625,   2.49637,1010.71000, 299.37600,  63.86300, 249.08000,  -1.83424,  -1.77800, 323.06100, 323.13400, 326.03400, 310.84800,   8.13329,   9.37426,   2.32498,  -1.71656,  -1.43000, 322.45200, 323.19100, 326.21600, 310.80800,   8.01934,   9.90120,   2.42622, 270.00000,  -0.28920,   0.23280,9999.99000
  305,07/07/2018 00:47:41,91,   0.15999,   0.00159,   0.00013, 309.67600, 309.57800,   0.01200, 306.19000, 303.89300,   0.00800,   0.00800,   0.00700,  24.33133,  12.07573,   8.04310,   4.99452,   3.28047,   2.47988,  -4.66606,   2.50183, 311.39600,   1.74643,   2.49642,1010.73000, 299.30600,  65.71800, 246.12000,  -1.96672,  -2.14200, 323.06900, 323.16100, 326.00400, 310.88700,   8.13161,   9.37459,   2.32331,  -2.36187,  -3.77500, 322.51400, 323.14500, 326.20000, 310.89300,   8.02169,   9.89977,   2.42731, 270.00000,  -0.24690,   0.24338,9999.99000
  327,07/07/2018 00:52:37,91,   0.17167,   0.00116,   0.00216, 309.75400, 309.66200,   0.00600, 306.35100, 304.39400,   0.00400,   0.00600,   0.01400,  24.33079,  12.07571,   8.04327,   4.99519,   3.28060,   2.47993,  -4.66566,   2.50188, 311.49600,   1.74648,   2.49642,1010.74000, 299.72800,  64.36300, 246.09000,  -2.74201,  -5.17000, 323.06400, 323.10800, 326.02500, 311.00400,   8.13186,   9.37418,   2.31399,  -2.03115,  -2.37300, 322.51100, 323.16100, 326.23500, 310.90800,   8.02060,   9.91622,   2.42865, 270.00000,  -0.24690,   0.21165,9999.99000
  349,07/07/2018 00:57:32,91,   0.17593,   0.00131,   0.00083, 309.85300, 309.75300,   0.00300, 306.51700, 304.48600,   0.00000,   0.00100,   0.00100,  24.32915,  12.07573,   8.04305,   4.99533,   3.28050,   2.47991,  -4.66561,   2.50187, 311.60800,   1.74611,   2.49649,1010.69000, 299.67300,  63.21800, 245.22000,  -2.24809,  -3.53300, 323.06100, 323.17200, 326.03600, 311.10100,   8.13178,   9.37359,   2.32532,  -2.38694,  -4.02500, 322.44800, 323.14300, 326.18600, 311.09700,   8.02102,   9.89918,   2.41472, 270.00000,  -0.31035,   0.23280,9999.99000
  371,07/07/2018 01:02:26,91,   0.17730,   0.00098,   0.00130, 309.93900, 309.84000,   0.00100, 306.57800, 304.43000,   0.00000,   0.00100,   0.00100,  24.32820,  12.07529,   8.04265,   4.99455,   3.28045,   2.47976,  -4.66568,   2.50181, 311.72500,   1.74669,   2.49641,1010.77000, 299.88000,  64.96800, 245.82000,  -2.29618,  -3.62900, 323.06400, 323.16100, 325.99800, 311.16200,   8.13094,   9.37418,   2.31651,  -1.34321,  -0.74700, 322.51600, 323.13400, 326.20500, 311.19800,   8.02085,   9.90019,   2.42639, 270.00000,  -0.29977,   0.24338,9999.99000
  393,07/07/2018 01:07:21,91,   0.17323,   0.00127,   0.00183, 310.01300, 309.91300,   0.00600, 306.53400, 304.19400,   0.00500,   0.00500,   0.00500,  24.33014,  12.07520,   8.04282,   4.99446,   3.28045,   2.47979,  -4.66635,   2.50176, 311.79500,   1.74599,   2.49637,1010.67000, 299.79800,  65.46800, 245.57000,  -1.69945,  -1.46300, 323.05100, 323.12400, 326.03600, 311.22700,   8.13237,   9.39120,   2.31861,  -1.75344,  -1.51200, 322.47000, 323.11300, 326.22900, 311.19200,   8.02094,   9.90078,   2.42689, 270.00000,  -0.23632,   0.29625,9999.99000
