Record,DateTime,200,TambK,Rh,Presmb,TirK,Rain
    14,07/10/18 00:05:15,201, 298.2630,  97.9200,1015.9500, 292.6700,0
    20,07/10/18 00:05:54,201, 298.1930,  97.9200,1016.0500, 293.0300,0
    26,07/10/18 00:06:36,201, 298.1380,  97.9200,1016.0500, 293.9100,0
    32,07/10/18 00:07:15,201, 298.1930,  97.9200,1016.0500, 293.4600,0
    38,07/10/18 00:07:54,201, 298.2630,  97.9200,1016.0500, 293.0700,0
    44,07/10/18 00:10:12,201, 298.3060,  97.9200,1015.9500, 292.1300,0
    50,07/10/18 00:10:51,201, 298.3060,  97.9200,1016.0500, 292.7600,0
    56,07/10/18 00:11:30,201, 298.2480,  97.9200,1016.0500, 293.4400,0
    62,07/10/18 00:12:10,201, 298.3340,  97.9200,1016.0500, 293.4600,0
    68,07/10/18 00:12:49,201, 298.2750,  97.9200,1016.0500, 293.2500,0
    74,07/10/18 00:15:06,201, 298.2050,  97.9200,1016.0500, 293.4000,0
    80,07/10/18 00:15:45,201, 298.1500,  97.9200,1016.1500, 292.8000,0
    86,07/10/18 00:16:24,201, 298.2360,  97.9200,1016.0500, 293.3500,0
    92,07/10/18 00:17:03,201, 298.1500,  97.9200,1016.0500, 292.7600,0
    98,07/10/18 00:17:43,201, 298.0410,  97.9200,1016.0500, 293.2700,0
   104,07/10/18 00:20:01,201, 298.1500,  97.9200,1016.0500, 289.5100,0
   110,07/10/18 00:20:45,201, 298.2050,  97.9200,1016.1500, 289.7300,0
   116,07/10/18 00:21:24,201, 298.2630,  97.9200,1016.1500, 287.8300,0
   122,07/10/18 00:22:06,201, 298.1380,  97.9200,1016.1500, 290.2400,0
   128,07/10/18 00:22:45,201, 298.2050,  97.9200,1016.1500, 291.7000,0
   134,07/10/18 00:25:03,201, 298.1230,  97.9200,1016.1500, 288.0700,0
   140,07/10/18 00:25:42,201, 298.1770,  97.9200,1016.1500, 290.1800,0
   146,07/10/18 00:26:21,201, 298.2630,  97.9200,1016.1500, 285.3500,0
   152,07/10/18 00:27:01,201, 298.2360,  97.9200,1016.1500, 286.9900,0
   158,07/10/18 00:27:40,201, 298.3060,  97.9200,1016.0500, 283.4200,0
   164,07/10/18 00:29:57,201, 298.4160,  97.9200,1016.1500, 291.3500,0
   170,07/10/18 00:30:37,201, 298.5840,  97.9200,1016.1500, 289.8200,0
   176,07/10/18 00:31:17,201, 298.7240,  97.9200,1016.1500, 291.9800,0
   182,07/10/18 00:31:56,201, 298.7130,  97.9200,1016.1500, 288.7400,0
   188,07/10/18 00:32:35,201, 298.7130,  97.9200,1016.2500, 289.0200,0
   194,07/10/18 00:34:54,201, 298.7400,  97.9200,1016.1500, 292.7700,0
   200,07/10/18 00:35:33,201, 298.7130,  97.9200,1016.1500, 291.9100,0
   206,07/10/18 00:36:12,201, 298.7130,  97.9200,1016.1500, 293.1500,0
   212,07/10/18 00:36:51,201, 298.7520,  97.9200,1016.1500, 292.2300,0
   218,07/10/18 00:37:31,201, 298.7830,  97.9200,1016.1500, 292.5900,0
   224,07/10/18 00:39:49,201, 298.6700,  97.9200,1016.1500, 291.1000,0
   230,07/10/18 00:40:29,201, 298.5840,  97.9200,1016.1500, 291.7700,0
   236,07/10/18 00:41:08,201, 298.5560,  97.9200,1016.1500, 290.4400,0
   242,07/10/18 00:41:47,201, 298.4740,  97.9200,1016.2500, 290.7200,0
