Record,DateTime,300,Int.Vaporcm,Int.Liquidmm,CloudBasekm
    19,07/11/18 00:05:18,301,  5.207,  0.242,  2.750,
    25,07/11/18 00:05:57,301,  5.353,  0.073,  2.500,
    31,07/11/18 00:06:36,301,  5.271,  0.155,  3.000,
    37,07/11/18 00:07:16,301,  5.296,  0.132,  2.750,
    43,07/11/18 00:07:55,301,  5.419,  0.062,  4.000,
    49,07/11/18 00:10:13,301,  5.378,  0.066,  3.250,
    55,07/11/18 00:10:52,301,  5.269,  0.148,  3.500,
    61,07/11/18 00:11:31,301,  5.299,  0.115,  5.250,
    67,07/11/18 00:12:11,301,  5.191,  0.207,  3.000,
    73,07/11/18 00:12:50,301,  5.258,  0.157,  3.500,
    79,07/11/18 00:15:08,301,  5.307,  0.136,  5.250,
    85,07/11/18 00:15:47,301,  5.246,  0.155,  4.750,
    91,07/11/18 00:16:26,301,  5.278,  0.172,  6.000,
    97,07/11/18 00:17:05,301,  5.236,  0.177,  5.000,
   103,07/11/18 00:17:45,301,  5.207,  0.179,  4.500,
   109,07/11/18 00:20:03,301,  5.172,  0.300,  3.000,
   115,07/11/18 00:20:42,301,  5.296,  0.155,  5.000,
   121,07/11/18 00:21:21,301,  5.274,  0.183,  5.000,
   127,07/11/18 00:22:00,301,  5.258,  0.199,  6.000,
   133,07/11/18 00:22:39,301,  5.188,  0.244,  3.750,
   139,07/11/18 00:24:57,301,  5.255,  0.207,  3.000,
   145,07/11/18 00:25:36,301,  5.298,  0.200,  0.800,
   151,07/11/18 00:26:16,301,  5.295,  0.218,  1.200,
   157,07/11/18 00:26:55,301,  5.370,  0.136,  0.700,
   163,07/11/18 00:27:34,301,  5.288,  0.201,  1.100,
   169,07/11/18 00:29:52,301,  5.287,  0.167,  4.250,
   175,07/11/18 00:30:32,301,  5.273,  0.158,  3.500,
   181,07/11/18 00:31:11,301,  5.294,  0.160,  6.000,
   187,07/11/18 00:31:50,301,  5.291,  0.192,  6.000,
   193,07/11/18 00:32:29,301,  5.277,  0.171,  4.000,
   199,07/11/18 00:34:47,301,  5.317,  0.177,  6.000,
