Record,Date/Time,10,Freq,Rcvr,Alpha,dTdG,K1,K2,K3,K4,Tnd
     1,07/14/2018 00:04:32,11, 22.000,0, 0.990420,  -522821.18,  0.55631077E+02, -0.11298425E+01,  0.55395653E-02, -0.79484273E-05, 202.52
     2,07/14/2018 00:04:32,11, 22.234,0, 0.998330,  -526099.25, -0.58891494E+03,  0.61485492E+01, -0.21463852E-01,  0.25050048E-04, 201.80
     3,07/14/2018 00:04:32,11, 22.500,0, 0.998550,  -497896.31, -0.30719799E+02,  0.33228168E+00, -0.14761064E-02,  0.23985674E-05, 194.66
     4,07/14/2018 00:04:32,11, 23.000,0, 0.999350,  -491340.93, -0.26834972E+02,  0.23040528E+00, -0.69130142E-03,  0.74442946E-06, 164.51
     5,07/14/2018 00:04:32,11, 23.034,0, 0.998920,  -471854.14,  0.34570782E+03, -0.35843588E+01,  0.12177431E-01, -0.13545685E-04, 161.93
     6,07/14/2018 00:04:32,11, 23.500,0, 0.998000,  -458488.50, -0.18654943E+03,  0.19420094E+01, -0.67472235E-02,  0.78235354E-05, 139.23
     7,07/14/2018 00:04:32,11, 23.834,0, 0.998760,  -443142.39, -0.70008956E+03,  0.71579588E+01, -0.24371814E-01,  0.27633403E-04, 125.74
     8,07/14/2018 00:04:32,11, 24.000,0, 0.998930,  -425806.91, -0.78894634E+02,  0.79464585E+00, -0.27313362E-02,  0.32044246E-05, 121.57
     9,07/14/2018 00:04:32,11, 24.500,0, 0.996100,  -420555.62, -0.24482681E+03,  0.25028537E+01, -0.85575056E-02,  0.97866030E-05, 112.93
    10,07/14/2018 00:04:32,11, 25.000,0, 0.997900,  -419212.37, -0.21760618E+03,  0.22018348E+01, -0.74555551E-02,  0.84499679E-05, 111.01
    11,07/14/2018 00:04:32,11, 25.500,0, 0.996590,  -350355.50, -0.67040129E+02,  0.56843600E+00, -0.16372826E-02,  0.16355388E-05, 115.69
    12,07/14/2018 00:04:32,11, 26.000,0, 0.997270,  -405048.28,  0.37139994E+01, -0.13398144E+00,  0.69118214E-03, -0.94254786E-06, 135.47
    13,07/14/2018 00:04:32,11, 26.234,0, 0.998570,  -362499.16, -0.19960195E+03,  0.20529035E+01, -0.70823139E-02,  0.81956017E-05, 137.80
    14,07/14/2018 00:04:32,11, 26.500,0, 0.999160,  -381022.94, -0.11743274E+03,  0.11850354E+01, -0.40048155E-02,  0.45339070E-05, 136.17
    15,07/14/2018 00:04:32,11, 27.000,0, 0.997780,  -365182.85, -0.89628384E+02,  0.85141332E+00, -0.27462610E-02,  0.30209960E-05, 126.25
    16,07/14/2018 00:04:32,11, 27.500,0, 0.997640,  -342718.22, -0.46312602E+02,  0.45109653E+00, -0.15122384E-02,  0.17497174E-05, 113.23
    17,07/14/2018 00:04:32,11, 28.000,0, 0.998550,  -387690.38, -0.11710820E+03,  0.12131660E+01, -0.41884467E-02,  0.48193212E-05, 112.69
    18,07/14/2018 00:04:32,11, 28.500,0, 0.996380,  -378648.46, -0.11704098E+03,  0.11771544E+01, -0.39762234E-02,  0.45129605E-05,  96.42
    19,07/14/2018 00:04:32,11, 29.000,0, 0.996600,  -370650.60, -0.80617683E+02,  0.82249638E+00, -0.28337851E-02,  0.32971856E-05,  84.56
    20,07/14/2018 00:04:32,11, 29.500,0, 0.996140,  -381985.85, -0.12757593E+03,  0.12837891E+01, -0.43448930E-02,  0.49482388E-05, 103.93
    21,07/14/2018 00:04:32,11, 30.000,0, 0.998090,  -485519.98, -0.17352383E+03,  0.17292957E+01, -0.58248531E-02,  0.66381658E-05, 153.41
Record,Date/Time,30,TkBB(K),Tnd(K) Ch  22.000,R Ch  22.000,Tnd(K) Ch  22.234,R Ch  22.234,Tnd(K) Ch  22.500,R Ch  22.500,Tnd(K) Ch  23.000,R Ch  23.000,Tnd(K) Ch  23.034,R Ch  23.034,Tnd(K) Ch  23.500,R Ch  23.500,Tnd(K) Ch  23.834,R Ch  23.834,Tnd(K) Ch  24.000,R Ch  24.000,Tnd(K) Ch  24.500,R Ch  24.500,Tnd(K) Ch  25.000,R Ch  25.000,Tnd(K) Ch  25.500,R Ch  25.500,Tnd(K) Ch  26.000,R Ch  26.000,Tnd(K) Ch  26.234,R Ch  26.234,Tnd(K) Ch  26.500,R Ch  26.500,Tnd(K) Ch  27.000,R Ch  27.000,Tnd(K) Ch  27.500,R Ch  27.500,Tnd(K) Ch  28.000,R Ch  28.000,Tnd(K) Ch  28.500,R Ch  28.500,Tnd(K) Ch  29.000,R Ch  29.000,Tnd(K) Ch  29.500,R Ch  29.500,Tnd(K) Ch  30.000,R Ch  30.000
Record,Date/Time,20,TkBB(K),Tnd(K) Ch  1,R Ch  1,Tnd(K) Ch  2,R Ch  2,Tnd(K) Ch  3,R Ch  3,Tnd(K) Ch  4,R Ch  4,Tnd(K) Ch  5,R Ch  5
    22,07/14/2018 00:09:35,31,315.156, 198.543, 0.999741, 199.513, 0.999754, 188.781, 0.999555, 161.306, 0.999560, 157.772, 0.999644, 137.201, 0.999779, 123.478, 0.999653, 120.269, 1.000000, 111.234, 0.999704, 109.825, 0.999891, 114.299, 0.999489, 134.216, 0.999822, 136.287, 0.999892, 135.098, 0.999726, 125.140, 0.999813, 112.217, 0.999840, 111.449, 0.999900,  95.499, 0.999777,  83.754, 0.999800, 103.297, 0.999717, 151.677, 0.999651
    23,07/14/2018 00:15:29,31,315.144, 198.951, 0.999481, 199.318, 0.999446, 188.708, 0.998834, 161.103, 0.999282, 157.512, 0.999413, 136.924, 0.999510, 123.698, 0.999528, 119.992, 1.000000, 111.151, 0.999313, 109.722, 0.999700, 114.141, 0.999338, 134.248, 0.999577, 136.337, 0.999707, 135.209, 0.999724, 125.223, 0.999689, 112.363, 0.999640, 111.533, 0.999656,  95.576, 0.999373,  83.749, 0.999717, 103.468, 0.999606, 151.537, 0.999526
    24,07/14/2018 00:20:24,31,315.094, 199.792, 0.999250, 199.695, 0.998999, 189.843, 0.998406, 161.850, 0.998903, 158.625, 0.999048, 137.456, 0.998939, 123.844, 0.998955, 120.651, 1.000000, 111.504, 0.998816, 110.153, 0.999466, 114.595, 0.998918, 134.447, 0.999385, 136.474, 0.999418, 135.471, 0.999311, 125.366, 0.999536, 112.211, 0.999394, 111.565, 0.999435,  95.663, 0.999041,  83.827, 0.999256, 103.510, 0.999123, 151.815, 0.999309
    25,07/14/2018 00:25:19,31,315.105, 199.883, 0.999192, 199.699, 0.998582, 189.513, 0.998267, 161.841, 0.998569, 158.689, 0.998812, 137.383, 0.998658, 123.927, 0.998627, 120.993, 1.000000, 111.522, 0.999023, 110.088, 0.999419, 114.428, 0.999205, 134.335, 0.999536, 136.492, 0.999415, 135.485, 0.999227, 125.369, 0.999576, 112.394, 0.999216, 111.685, 0.999176,  95.576, 0.999018,  83.872, 0.999557, 103.619, 0.999416, 151.838, 0.999561
    26,07/14/2018 00:30:15,31,315.180, 200.282, 0.998379, 200.341, 0.998350, 189.970, 0.997780, 161.757, 0.998349, 158.771, 0.998197, 137.745, 0.998589, 124.030, 0.997894, 120.591, 1.000000, 111.421, 0.998531, 110.037, 0.999200, 114.828, 0.998804, 134.741, 0.999361, 136.943, 0.999319, 135.478, 0.998774, 125.502, 0.999141, 112.525, 0.998995, 111.946, 0.998994,  95.776, 0.998485,  83.957, 0.999090, 103.697, 0.999056, 151.953, 0.999004
    27,07/14/2018 00:35:09,31,315.317, 199.828, 0.998816, 199.725, 0.998705, 189.815, 0.997420, 161.580, 0.998334, 158.428, 0.998396, 137.299, 0.998720, 123.630, 0.998654, 120.522, 1.000000, 111.271, 0.998813, 110.056, 0.999278, 114.659, 0.999206, 134.347, 0.999573, 136.707, 0.999524, 135.608, 0.999177, 125.431, 0.999590, 112.490, 0.999072, 111.799, 0.999014,  95.636, 0.998480,  83.927, 0.999321, 103.635, 0.999361, 151.968, 0.999238
    28,07/14/2018 00:40:04,31,315.438, 200.515, 0.999405, 201.053, 0.999268, 191.026, 0.998674, 162.641, 0.999136, 159.048, 0.999241, 137.985, 0.999459, 124.416, 0.999255, 121.084, 1.000000, 111.800, 0.999522, 110.333, 0.999886, 114.880, 0.999686, 134.907, 0.999815, 136.825, 0.999909, 135.651, 0.999775, 125.651, 0.999714, 112.608, 0.999537, 112.091, 0.999613,  95.976, 0.999396,  83.915, 0.999763, 103.620, 0.999753, 151.989, 0.999649
    29,07/14/2018 00:44:58,31,315.588, 200.899, 0.999777, 201.164, 0.999592, 191.171, 0.999795, 162.809, 0.999810, 159.414, 0.999681, 138.284, 0.999599, 124.525, 0.999741, 121.067, 1.000000, 111.826, 0.999120, 110.393, 0.998804, 114.940, 0.998482, 134.855, 0.998965, 136.779, 0.998977, 135.710, 0.999003, 125.548, 0.998952, 112.663, 0.999542, 111.901, 0.999440,  95.750, 0.999618,  83.968, 0.999509, 103.511, 0.998812, 151.878, 0.999113
    30,07/14/2018 00:49:52,31,315.724, 200.477, 0.999610, 200.137, 0.999667, 190.395, 0.999921, 161.521, 0.999673, 158.538, 0.999690, 137.511, 0.999479, 123.757, 0.999513, 120.208, 1.000000, 111.306, 0.999105, 110.287, 0.998965, 114.537, 0.998252, 134.379, 0.998623, 136.333, 0.998573, 135.347, 0.998851, 125.153, 0.998771, 112.268, 0.999342, 111.582, 0.999305,  95.430, 0.999433,  83.611, 0.998880, 103.400, 0.998331, 151.712, 0.999011
